sign,19,0.00020227
ages,19,0.00020227
rest,19,0.00020227
wanted,19,0.00020227
else,19,0.00020227
narrow,19,0.00020227
uncomfortable,19,0.00020227
Before,19,0.00020227
shadow,19,0.00020227
late,19,0.00020227
father,19,0.00020227
beside,19,0.00020227
managed,19,0.00020227
appeared,19,0.00020227
drew,19,0.00020227
either,19,0.00020227
Elvenking,18,0.000191624
leave,18,0.000191624
seem,18,0.000191624
face,18,0.000191624
lights,18,0.000191624
jumped,18,0.000191624
Hill,18,0.000191624
shut,18,0.000191624
dreadful,18,0.000191624
prisoners,18,0.000191624
return,18,0.000191624
bear,18,0.000191624
quickly,18,0.000191624
“Well,18,0.000191624
places,18,0.000191624
Oin,18,0.000191624
waiting,18,0.000191624
difficult,18,0.000191624
West,18,0.000191624
blue,18,0.000191624
beard,18,0.000191624
singing,18,0.000191624
escape,18,0.000191624
mean,18,0.000191624
guard,18,0.000191624
laid,18,0.000191624
spite,18,0.000191624
ought,18,0.000191624
became,18,0.000191624
wished,18,0.000191624
Lake,18,0.000191624
spider,18,0.000191624
Bifur,18,0.000191624
taking,18,0.000191624
taken,18,0.000191624
table,18,0.000191624
Just,18,0.000191624
hung,18,0.000191624
does,18,0.000191624
times,17,0.000180978
busy,17,0.000180978
mountain,17,0.000180978
eagles,17,0.000180978
ones,17,0.000180978
having,17,0.000180978
pony,17,0.000180978
dare,17,0.000180978
hungry,17,0.000180978
carry,17,0.000180978
rate,17,0.000180978
fallen,17,0.000180978
name,17,0.000180978
different,17,0.000180978
doing,17,0.000180978
pushed,17,0.000180978
hold,17,0.000180978
sky,17,0.000180978
half,17,0.000180978
rope,17,0.000180978
dared,17,0.000180978
tales,17,0.000180978
rage,17,0.000180978
sang,17,0.000180978
Arkenstone,17,0.000180978
wooden,17,0.000180978
silence,17,0.000180978
nice,17,0.000180978
won’t,17,0.000180978
fellow,17,0.000180978
hood,17,0.000180978
sometimes,17,0.000180978
(which,17,0.000180978
thinking,17,0.000180978
guards,17,0.000180978
On,16,0.000170332
map,16,0.000170332
bridge,16,0.000170332
Thorin’s,16,0.000170332
burglar,16,0.000170332
Tom,16,0.000170332
leading,16,0.000170332
“There,16,0.000170332
dangerous,16,0.000170332
work,16,0.000170332
word,16,0.000170332
wondered,16,0.000170332
wild,16,0.000170332
wicked,16,0.000170332
watching,16,0.000170332
afraid,16,0.000170332
voices,16,0.000170332
trying,16,0.000170332
tired,16,0.000170332
given,16,0.000170332
ancient,16,0.000170332
tale,16,0.000170332
struck,16,0.000170332
asleep,16,0.000170332
especially,16,0.000170332
carried,16,0.000170332
bed,16,0.000170332
eye,16,0.000170332
ready,16,0.000170332
Even,16,0.000170332
close,16,0.000170332
killed,16,0.000170332
pass,16,0.000170332
Misty,16,0.000170332
known,16,0.000170332
Also,15,0.000159687
warm,15,0.000159687
mouth,15,0.000159687
started,15,0.000159687
stay,15,0.000159687
pretty,15,0.000159687
shot,15,0.000159687
sing,15,0.000159687
line,15,0.000159687
easy,15,0.000159687
lots,15,0.000159687
gloom,15,0.000159687
run,15,0.000159687
terrible,15,0.000159687
crack,15,0.000159687
fight,15,0.000159687
hill,15,0.000159687
barrel,15,0.000159687
nearest,15,0.000159687
reached,15,0.000159687
Goblin,15,0.000159687
wealth,15,0.000159687
ahead,15,0.000159687
remembered,15,0.000159687
shining,15,0.000159687
wait,15,0.000159687
Dwalin,15,0.000159687
entrance,15,0.000159687
hills,15,0.000159687
stand,15,0.000159687
thick,15,0.000159687
remained,15,0.000159687
sight,15,0.000159687
catch,15,0.000159687
him;,15,0.000159687
knows,15,0.000159687
saying,15,0.000159687
fierce,14,0.000149041
rose,14,0.000149041
happen,14,0.000149041
foot,14,0.000149041
hidden,14,0.000149041
notice,14,0.000149041
expected,14,0.000149041
stop,14,0.000149041
king’s,14,0.000149041
story,14,0.000149041
several,14,0.000149041
questions,14,0.000149041
cliff,14,0.000149041
smoke,14,0.000149041
pleased,14,0.000149041
fled,14,0.000149041
woke,14,0.000149041
hissed,14,0.000149041
sprang,14,0.000149041
Come,14,0.000149041
rushed,14,0.000149041
branch,14,0.000149041
William,14,0.000149041
supper,14,0.000149041
kind,14,0.000149041
mighty,14,0.000149041
Eagles,14,0.000149041
plan,14,0.000149041
danger,14,0.000149041
empty,14,0.000149041
speak,14,0.000149041
passages,14,0.000149041
To,14,0.000149041
hanging,14,0.000149041
dreams,14,0.000149041
however,14,0.000149041
south,14,0.000149041
neither,14,0.000149041
eastern,14,0.000149041
“A,14,0.000149041
turning,14,0.000149041
roof,14,0.000149041
five,14,0.000149041
try,14,0.000149041
ears,14,0.000149041
miserable,14,0.000149041
become,14,0.000149041
beards,14,0.000149041
comfortable,14,0.000149041
Long,14,0.000149041
These,14,0.000149041
certainly,13,0.000138395
dry,13,0.000138395
leaped,13,0.000138395
heads,13,0.000138395
forth,13,0.000138395
care,13,0.000138395
climb,13,0.000138395
friend,13,0.000138395
meanwhile,13,0.000138395
Nori,13,0.000138395
discovered,13,0.000138395
wine,13,0.000138395
living,13,0.000138395
unless,13,0.000138395
north,13,0.000138395
host,13,0.000138395
grim,13,0.000138395
question,13,0.000138395
dragon’s,13,0.000138395
Running,13,0.000138395
altogether,13,0.000138395
vanished,13,0.000138395
By,13,0.000138395
early,13,0.000138395
rode,13,0.000138395
live,13,0.000138395
hundreds,13,0.000138395
quietly,13,0.000138395
lit,13,0.000138395
hoard,13,0.000138395
rolled,13,0.000138395
flying,13,0.000138395
feast,13,0.000138395
noticed,13,0.000138395
wet,13,0.000138395
corner,13,0.000138395
walls,13,0.000138395
dropped,13,0.000138395
